reading_id,timestamp_utc,sample_delta,sample_value,sample_reltime
3,1695057941092,0,8190,0
3,1695057941092,26,8190,26
3,1695057941092,14,8190,40
3,1695057941092,24,8190,64
3,1695057941092,16,8190,80
3,1695057941092,20,8190,100
3,1695057941092,19,8126,119
3,1695057941092,22,8062,141
3,1695057941092,19,8006,160
3,1695057941092,20,7934,180
3,1695057941092,20,7886,200
3,1695057941092,20,7830,220
3,1695057941092,20,7758,240
3,1695057941092,20,7710,260
3,1695057941092,20,7642,280
3,1695057941092,20,7582,300
3,1695057941092,20,7518,320
3,1695057941092,20,7470,340
3,1695057941092,21,7406,361
3,1695057941092,19,7342,380
3,1695057941092,20,7274,400
3,1695057941092,20,7220,420
3,1695057941092,27,7158,447
3,1695057941092,13,7102,460
3,1695057941092,20,7030,480
3,1695057941092,20,6974,500
3,1695057941092,27,6902,527
3,1695057941092,13,6838,540
3,1695057941092,20,6774,560
3,1695057941092,20,6714,580
3,1695057941092,41,6654,621
3,1695057941092,20,6590,641
3,1695057941092,20,6526,661
3,1695057941092,41,6478,702
3,1695057941092,20,6410,722
3,1695057941092,20,6350,742
3,1695057941092,22,6302,764
3,1695057941092,19,6238,783
3,1695057941092,20,6190,803
3,1695057941092,20,6126,823
3,1695057941092,20,6070,843
3,1695057941092,21,6006,864
3,1695057941092,20,5966,884
3,1695057941092,20,5886,904
3,1695057941092,20,5854,924
3,1695057941092,20,5790,944
3,1695057941092,20,5726,964
3,1695057941092,23,5678,987
3,1695057941092,17,5598,1004
3,1695057941092,20,5534,1024
3,1695057941092,20,5486,1044
3,1695057941092,27,5422,1071
3,1695057941092,13,5358,1084
3,1695057941092,20,5302,1104
3,1695057941092,20,5246,1124
3,1695057941092,27,5178,1151
3,1695057941092,13,5130,1164
3,1695057941092,20,5078,1184
3,1695057941092,20,5018,1204
3,1695057941092,41,4940,1245
3,1695057941092,20,4878,1265
3,1695057941092,20,4814,1285
3,1695057941092,24,4750,1309
3,1695057941092,16,4702,1325
3,1695057941092,20,4638,1345
3,1695057941092,20,4574,1365
3,1695057941092,21,4510,1386
3,1695057941092,19,4462,1405
3,1695057941092,20,4406,1425
3,1695057941092,20,4342,1445
3,1695057941092,20,4270,1465
3,1695057941092,20,4214,1485
3,1695057941092,20,4126,1505
3,1695057941092,20,4086,1525
3,1695057941092,20,4014,1545
3,1695057941092,20,3934,1565
3,1695057941092,20,3910,1585
3,1695057941092,23,3846,1608
3,1695057941092,17,3798,1625
3,1695057941092,20,3726,1645
3,1695057941092,20,3662,1665
3,1695057941092,27,3598,1692
3,1695057941092,13,3550,1705
3,1695057941092,20,3498,1725
3,1695057941092,20,3422,1745
3,1695057941092,27,3374,1772
3,1695057941092,13,3326,1785
3,1695057941092,20,3262,1805
3,1695057941092,20,3214,1825
3,1695057941092,41,3150,1866
3,1695057941092,20,3094,1886
3,1695057941092,20,3030,1906
3,1695057941092,24,2974,1930
3,1695057941092,16,2910,1946
3,1695057941092,20,2846,1966
3,1695057941092,20,2814,1986
3,1695057941092,21,2762,2007
3,1695057941092,19,2686,2026
3,1695057941092,20,2630,2046
3,1695057941092,20,2574,2066
3,1695057941092,20,2510,2086
3,1695057941092,20,2478,2106
3,1695057941092,20,2478,2126
3,1695057941092,20,2494,2146
3,1695057941092,20,2486,2166
3,1695057941092,20,2478,2186
3,1695057941092,20,2510,2206
3,1695057941092,21,2494,2227
3,1695057941092,19,2518,2246
3,1695057941092,20,2510,2266
3,1695057941092,20,2518,2286
3,1695057941092,27,2518,2313
3,1695057941092,13,2518,2326
3,1695057941092,20,2526,2346
3,1695057941092,20,2526,2366
3,1695057941092,27,2526,2393
3,1695057941092,13,2526,2406
3,1695057941092,20,2542,2426
3,1695057941092,20,2542,2446
3,1695057941092,41,2550,2487
3,1695057941092,20,2558,2507
3,1695057941092,20,2558,2527
3,1695057941092,24,2558,2551
3,1695057941092,16,2582,2567
3,1695057941092,20,2590,2587
3,1695057941092,20,2590,2607
3,1695057941092,22,2590,2629
3,1695057941092,18,2602,2647
3,1695057941092,21,2606,2668
3,1695057941092,20,2634,2688
3,1695057941092,20,2622,2708
3,1695057941092,20,2622,2728
3,1695057941092,20,2638,2748
3,1695057941092,20,2650,2768
3,1695057941092,20,2654,2788
3,1695057941092,20,2654,2808
3,1695057941092,20,2654,2828
3,1695057941092,23,2666,2851
3,1695057941092,17,2670,2868
3,1695057941092,20,2666,2888
3,1695057941092,20,2666,2908
3,1695057941092,27,2670,2935
3,1695057941092,13,2670,2948
3,1695057941092,20,2670,2968
3,1695057941092,20,2678,2988
3,1695057941092,27,2670,3015
3,1695057941092,13,2670,3028
3,1695057941092,20,2670,3048
3,1695057941092,20,2686,3068
3,1695057941092,41,2678,3109
3,1695057941092,20,2686,3129
3,1695057941092,20,2686,3149
3,1695057941092,24,2702,3173
3,1695057941092,17,2686,3190
3,1695057941092,20,2710,3210
3,1695057941092,20,2702,3230
3,1695057941092,41,2726,3271
3,1695057941092,20,2718,3291
3,1695057941092,20,2710,3311
3,1695057941092,20,2718,3331
3,1695057941092,20,2726,3351
3,1695057941092,20,2734,3371
3,1695057941092,20,2750,3391
3,1695057941092,20,2750,3411
3,1695057941092,20,2750,3431
3,1695057941092,20,2772,3451
3,1695057941092,23,2782,3474
3,1695057941092,18,2782,3492
3,1695057941092,20,2782,3512
3,1695057941092,20,2798,3532
3,1695057941092,27,2814,3559
3,1695057941092,14,2806,3573
3,1695057941092,20,2814,3593
3,1695057941092,21,2814,3614
3,1695057941092,26,2814,3640
3,1695057941092,13,2838,3653
3,1695057941092,20,2842,3673
3,1695057941092,20,2854,3693
3,1695057941092,41,2862,3734
3,1695057941092,20,2862,3754
3,1695057941092,20,2878,3774
3,1695057941092,24,2878,3798
3,1695057941092,17,2894,3815
3,1695057941092,20,2910,3835
3,1695057941092,20,2910,3855
3,1695057941092,21,2934,3876
3,1695057941092,19,2910,3895
3,1695057941092,20,2926,3915
3,1695057941092,20,2926,3935
3,1695057941092,20,2934,3955
3,1695057941092,20,2942,3975
3,1695057941092,20,2942,3995
3,1695057941092,20,2942,4015
3,1695057941092,20,2942,4035
3,1695057941092,20,2958,4055
3,1695057941092,20,2958,4075
3,1695057941092,24,2942,4099
3,1695057941092,17,2970,4116
3,1695057941092,20,2974,4136
3,1695057941092,20,2966,4156
3,1695057941092,21,2990,4177
3,1695057941092,19,2986,4196
3,1695057941092,20,2974,4216
3,1695057941092,20,2990,4236
3,1695057941092,27,2990,4263
3,1695057941092,13,2990,4276
3,1695057941092,20,3006,4296
3,1695057941092,20,3006,4316
3,1695057941092,41,3022,4357
3,1695057941092,20,3022,4377
3,1695057941092,20,3006,4397
3,1695057941092,24,3030,4421
3,1695057941092,17,3030,4438
3,1695057941092,20,3030,4458
3,1695057941092,21,3038,4479
3,1695057941092,50,3054,4529
3,1695057941092,12,3054,4541
3,1695057941092,18,3062,4559
3,1695057941092,20,3070,4579
3,1695057941092,20,3062,4599
3,1695057941092,20,3054,4619
3,1695057941092,20,3066,4639
3,1695057941092,20,3070,4659
3,1695057941092,20,3070,4679
3,1695057941092,20,3070,4699
3,1695057941092,23,3070,4722
3,1695057941092,17,3070,4739
3,1695057941092,20,3070,4759
3,1695057941092,20,3070,4779
3,1695057941092,27,3070,4806
3,1695057941092,13,3070,4819
3,1695057941092,20,3070,4839
3,1695057941092,20,3070,4859
3,1695057941092,27,3070,4886
3,1695057941092,13,3070,4899
3,1695057941092,20,3070,4919
3,1695057941092,20,3070,4939
3,1695057941092,41,3070,4980
3,1695057941092,20,3070,5000
3,1695057941092,20,3070,5020
3,1695057941092,23,3110,5043
3,1695057941092,17,3118,5060
3,1695057941092,20,3118,5080
3,1695057941092,20,3134,5100
3,1695057941092,21,3126,5121
3,1695057941092,19,3134,5140
3,1695057941092,20,3134,5160
3,1695057941092,20,3150,5180
3,1695057941092,20,3150,5200
3,1695057941092,20,3166,5220
3,1695057941092,20,3150,5240
3,1695057941092,23,3166,5263
3,1695057941092,17,3166,5280
3,1695057941092,20,3182,5300
3,1695057941092,20,3190,5320
3,1695057941092,23,3182,5343
3,1695057941092,17,3198,5360
3,1695057941092,21,3198,5381
3,1695057941092,20,3198,5401
3,1695057941092,28,3182,5429
3,1695057941092,12,3198,5441
3,1695057941092,20,3198,5461
3,1695057941092,21,3214,5482
3,1695057941092,37,3214,5519
3,1695057941092,7,3222,5526
3,1695057941092,15,3222,5541
3,1695057941092,20,3222,5561
3,1695057941092,41,3222,5602
3,1695057941092,20,3214,5622
3,1695057941092,20,3230,5642
3,1695057941092,23,3222,5665
3,1695057941092,17,3222,5682
3,1695057941092,20,3230,5702
3,1695057941092,20,3230,5722
3,1695057941092,21,3230,5743
3,1695057941092,20,3246,5763
3,1695057941092,20,3246,5783
3,1695057941092,20,3242,5803
3,1695057941092,21,3254,5824
3,1695057941092,20,3262,5844
3,1695057941092,20,3262,5864
3,1695057941092,23,3278,5887
3,1695057941092,18,3286,5905
3,1695057941092,20,3294,5925
3,1695057941092,20,3294,5945
3,1695057941092,23,3310,5968
3,1695057941092,17,3310,5985
3,1695057941092,20,3310,6005
3,1695057941092,20,3326,6025
3,1695057941092,27,3326,6052
3,1695057941092,13,3326,6065
3,1695057941092,20,3342,6085
3,1695057941092,20,3358,6105
3,1695057941092,27,3366,6132
3,1695057941092,13,3370,6145
3,1695057941092,20,3374,6165
3,1695057941092,20,3374,6185
3,1695057941092,40,3382,6225
3,1695057941092,20,3382,6245
3,1695057941092,20,3390,6265
3,1695057941092,23,3390,6288
3,1695057941092,17,3390,6305
3,1695057941092,20,3390,6325
3,1695057941092,20,3406,6345
3,1695057941092,21,3390,6366
3,1695057941092,20,3414,6386
3,1695057941092,20,3414,6406
3,1695057941092,21,3414,6427
3,1695057941092,37,3422,6464
3,1695057941092,7,3422,6471
3,1695057941092,15,3422,6486
3,1695057941092,23,3438,6509
3,1695057941092,17,3438,6526
3,1695057941092,20,3446,6546
3,1695057941092,20,3438,6566
3,1695057941092,23,3438,6589
3,1695057941092,17,3438,6606
